area,h1,h2,h3,h4,h5,h6,h7
12879.5,0.427915,0.0357176,0.00235091,0.000407096,3.98086e-07,7.63636e-05,1.1626e-08,
13271.5,0.424928,0.035463,0.00193798,0.000343996,2.79896e-07,6.41123e-05,2.33588e-08,
13278,0.428208,0.0358757,0.00183618,0.00035338,2.82886e-07,6.61297e-05,3.16913e-08,
13258,0.428783,0.0363738,0.0017523,0.000357713,2.82441e-07,6.68577e-05,2.08417e-08,
13138,0.434819,0.0370489,0.00171998,0.000263317,1.77204e-07,4.90788e-05,9.668e-10,
13265.5,0.432387,0.0356277,0.00181554,0.000329489,2.54369e-07,6.11703e-05,1.54607e-08,
13288,0.431635,0.035533,0.00169433,0.00036166,2.83065e-07,6.66533e-05,4.80818e-09,
13173,0.437068,0.0368093,0.00164912,0.000271867,1.82027e-07,5.04704e-05,1.95111e-09,
13190,0.437622,0.0369345,0.00156787,0.000259639,1.65586e-07,4.85819e-05,4.85659e-09,
13421,0.437673,0.0372228,0.00103018,0.000178884,7.55755e-08,3.40376e-05,1.36117e-08,
13448.5,0.442527,0.0394515,0.00107853,0.000207395,9.7597e-08,3.99708e-05,9.80013e-09,
13499.5,0.442564,0.0396943,0.00121685,0.000210322,1.0583e-07,4.07332e-05,1.10077e-08,
13505,0.441774,0.0396055,0.00106785,0.00017588,7.56952e-08,3.39853e-05,8.94734e-09,
13494,0.442224,0.0396743,0.00106789,0.000180575,7.85956e-08,3.50005e-05,1.05146e-08,
13275.5,0.443644,0.0392013,0.00115573,0.000138007,5.4906e-08,2.65479e-05,4.80754e-09,
13208,0.444872,0.0387634,0.00110323,0.000160676,6.67076e-08,3.10068e-05,1.12459e-08,
13191,0.445019,0.0394427,0.00118444,0.000157539,6.74092e-08,3.05545e-05,9.32925e-09,
13179.5,0.445449,0.0395258,0.00119035,0.000162159,7.05742e-08,3.14831e-05,9.74713e-09,
13301,0.44511,0.0400149,0.00141917,0.000180487,8.96681e-08,3.53034e-05,1.74216e-08,
13301,0.44511,0.0400149,0.00141917,0.000180487,8.96681e-08,3.53034e-05,1.74216e-08,
13219,0.447224,0.0411922,0.00146681,0.000199494,1.05251e-07,3.98029e-05,2.3828e-08,
13223,0.446981,0.0411831,0.00146485,0.000202681,1.07908e-07,4.03762e-05,2.34993e-08,
13216,0.445803,0.0417342,0.00133683,0.000203773,1.05734e-07,4.04869e-05,1.14801e-08,
13133,0.445659,0.0408445,0.00148611,0.000238685,1.39794e-07,4.7646e-05,2.58047e-08,
13114,0.445804,0.0414904,0.00136098,0.000183005,9.03768e-08,3.65925e-05,1.31708e-08,
13102.5,0.446477,0.0415769,0.00136919,0.000183874,9.16126e-08,3.66983e-05,1.09088e-08,
13142,0.444949,0.0414862,0.00159433,0.000215164,1.2595e-07,4.25721e-05,4.2623e-09,
13108.5,0.445677,0.0415264,0.00163551,0.000231271,1.4202e-07,4.59728e-05,7.82614e-09,
13070.5,0.447902,0.0427438,0.0015752,0.000268803,1.74214e-07,5.42268e-05,1.56114e-08,
13058,0.444285,0.0409848,0.00165047,0.000263828,1.72213e-07,5.25293e-05,2.55253e-08,
12929.5,0.448391,0.0419795,0.00152223,0.0002418,1.43599e-07,4.90689e-05,2.99967e-08,
12945,0.447027,0.0417976,0.00156172,0.00021149,1.20648e-07,4.23918e-05,1.4733e-08,
12924.5,0.448217,0.0426234,0.00151737,0.000228003,1.33946e-07,4.5546e-05,6.60175e-09,
12913.5,0.448847,0.0427379,0.00159117,0.000235985,1.44272e-07,4.73908e-05,9.82302e-09,
12916.5,0.448646,0.0426722,0.00159055,0.000235123,1.43384e-07,4.72274e-05,1.07493e-08,
12878.5,0.451515,0.043541,0.0013221,0.000201033,1.03447e-07,4.0367e-05,6.34919e-09,
12924,0.45057,0.0439075,0.0013384,0.000219899,1.18435e-07,4.50133e-05,1.43092e-08,
12945,0.45023,0.0435294,0.00134937,0.000230939,1.28072e-07,4.69654e-05,1.47416e-08,
12959,0.448691,0.0429029,0.00110707,0.0001816,7.95505e-08,3.72025e-05,1.73758e-08,
12953.5,0.449063,0.0429268,0.00111114,0.00017611,7.6277e-08,3.60396e-05,1.58381e-08,
12912,0.449789,0.0432944,0.00118557,0.000182165,8.32612e-08,3.73973e-05,1.53067e-08,
12799,0.453016,0.044302,0.00131678,0.000187429,9.16994e-08,3.87572e-05,1.61645e-08,
12831,0.454102,0.0446939,0.0014486,0.000203849,1.09977e-07,4.20752e-05,1.32628e-08,
12826,0.454201,0.0447096,0.00144306,0.000200634,1.07142e-07,4.13994e-05,1.32326e-08,
12861.5,0.452074,0.0444889,0.00133915,0.000201913,1.03932e-07,4.16043e-05,1.48928e-08,
12630,0.459995,0.0468853,0.00135948,0.000208365,1.10621e-07,4.34875e-05,7.82427e-09,
12618,0.460613,0.0468671,0.00148243,0.000206815,1.14208e-07,4.33692e-05,8.36766e-09,
12666.5,0.458563,0.0470465,0.0013988,0.000183812,9.31556e-08,3.82655e-05,3.04022e-09,
12663.5,0.458412,0.0470285,0.00143482,0.000185869,9.59731e-08,3.85608e-05,1.61641e-09,
12445,0.469642,0.0499658,0.00203505,0.000344326,2.87667e-07,7.53458e-05,1.80545e-08,
12756,0.455155,0.0461736,0.00167951,0.000274304,1.85714e-07,5.75335e-05,1.32095e-08,
12536,0.463375,0.0486518,0.00154798,0.00024324,1.48699e-07,5.24113e-05,1.28961e-08,
12535,0.463514,0.0487728,0.00153173,0.000240034,1.4504e-07,5.17927e-05,1.21278e-08,
12516,0.464495,0.0488368,0.00171288,0.000283075,1.9636e-07,6.1323e-05,1.72102e-08,
12644,0.459792,0.0469235,0.00139432,0.000217064,1.18737e-07,4.60532e-05,1.2715e-08,
12629,0.457421,0.0463736,0.00162023,0.000263793,1.71503e-07,5.56476e-05,1.81206e-08,
12787,0.45293,0.0453045,0.0014129,0.000215182,1.17887e-07,4.48303e-05,1.3427e-08,
12788.5,0.452503,0.0453436,0.00137427,0.000223228,1.22813e-07,4.65011e-05,1.42746e-08,
12946,0.446814,0.0434657,0.00148982,0.000207409,1.14802e-07,4.24569e-05,1.06438e-08,
2489.5,0.244921,0.0116158,0.00327795,0.000882157,1.17618e-06,5.62443e-05,9.31073e-07,
15711,0.489783,0.0580188,0.0270166,0.00171687,-9.84429e-09,-0.000183789,1.16929e-05,
3219,0.202372,0.0115474,0.000329088,1.34256e-05,-6.83361e-10,-1.41168e-06,5.73916e-10,
5805,0.271431,0.0190956,0.004458,0.00100178,7.44573e-07,-1.579e-05,-1.9818e-06,
2961.5,0.251711,0.0175275,0.000479409,0.000265333,6.73565e-08,2.60873e-05,6.64709e-08,
16182.5,0.49324,0.0625385,0.0284189,0.00172546,-4.92741e-07,-0.00017815,1.20726e-05,
3379,0.198681,0.0103892,0.000169684,1.02182e-05,6.74318e-11,-5.88417e-07,4.20104e-10,
5852.5,0.255952,0.0178322,0.00386388,0.000913828,9.02579e-07,6.96199e-06,-1.46081e-06,
2961.5,0.251711,0.0175275,0.000479409,0.000265333,6.73565e-08,2.60873e-05,6.64709e-08,
16182,0.493248,0.0625338,0.0284214,0.00172495,-5.02761e-07,-0.000178301,1.20674e-05,
