area,h1,h2,h3,h4,h5,h6,h7
10707,1.46099,0.923871,0.229255,0.0793787,-0.0106669,-0.0754345,0.000939765,
11026.5,1.4521,0.91367,0.229687,0.0774404,-0.0103032,-0.0727019,0.000716168,
11200.5,1.44707,0.913819,0.221807,0.0752924,-0.00972996,-0.069643,3.50822e-05,
11302,1.45446,0.921008,0.21914,0.0746368,-0.00952826,-0.070063,0.000570385,
11299,1.45507,0.92193,0.219276,0.074654,-0.00953579,-0.0700833,0.000548993,
11466.5,1.46087,0.937937,0.218212,0.0735301,-0.00922319,-0.0704959,0.00129748,
11598.5,1.45684,0.935445,0.211784,0.0729806,-0.00902312,-0.0696033,0.000951384,
11715.5,1.45554,0.932595,0.212275,0.0730282,-0.00900677,-0.0698218,0.00124597,
11715.5,1.45554,0.932595,0.212275,0.0730282,-0.00900677,-0.0698218,0.00124597,
11897.5,1.44836,0.919882,0.215552,0.0730031,-0.00907895,-0.0691777,0.00119865,
12260.5,1.43595,0.905053,0.21189,0.0710569,-0.00858132,-0.0671052,0.00154314,
12337,1.44322,0.912789,0.219675,0.0727156,-0.00913865,-0.0684254,0.000973493,
12500,1.44042,0.901236,0.226977,0.0756584,-0.00987497,-0.0679323,-0.000885938,
12503,1.44052,0.902417,0.225749,0.075299,-0.00979462,-0.068016,-0.000668735,
12939.5,1.43869,0.903662,0.224567,0.0746435,-0.00960568,-0.0665759,-0.00106091,
13197,1.43738,0.900547,0.22648,0.0746664,-0.00955381,-0.0648835,-0.00173253,
13418,1.43895,0.906552,0.22722,0.0747813,-0.00958318,-0.0649958,-0.00178466,
13418,1.43895,0.906552,0.22722,0.0747813,-0.00958318,-0.0649958,-0.00178466,
13702.5,1.43762,0.897456,0.227796,0.0761243,-0.00965644,-0.0637777,-0.00269104,
14177,1.44232,0.919005,0.223484,0.0741612,-0.00923925,-0.0629372,-0.00240633,
14353,1.44509,0.931242,0.216365,0.0720262,-0.00894987,-0.065397,-0.000863519,
14682.5,1.44035,0.92899,0.206925,0.0707953,-0.00840849,-0.0625157,-0.00164908,
14682.5,1.44035,0.92899,0.206925,0.0707953,-0.00840849,-0.0625157,-0.00164908,
15420,1.41516,0.889765,0.19522,0.0675502,-0.00774561,-0.0608862,-0.00042285,
15665,1.40933,0.887463,0.19295,0.0666419,-0.00753443,-0.0598625,-0.000582256,
15856.5,1.41181,0.889116,0.192031,0.0672138,-0.00757762,-0.059751,-0.000943521,
15856.5,1.41181,0.889116,0.192031,0.0672138,-0.00757762,-0.059751,-0.000943521,
16188,1.39197,0.863943,0.187471,0.0662629,-0.00732351,-0.0582221,-0.000953966,
16792,1.3608,0.838936,0.168336,0.0605405,-0.00588372,-0.0554511,0.00165343,
17103,1.35423,0.829389,0.162744,0.0598074,-0.00556538,-0.0543799,0.00196008,
17180,1.36054,0.839741,0.16553,0.0600588,-0.00575947,-0.0550326,0.00163958,
17491.5,1.36387,0.842799,0.165558,0.06009,-0.00595753,-0.0547647,0.000655474,
17652.5,1.35988,0.846244,0.163696,0.0587709,-0.00572702,-0.0536647,0.000656349,
17782.5,1.35865,0.845062,0.161061,0.0581961,-0.00557683,-0.0532555,0.000802408,
17782.5,1.35865,0.845062,0.161061,0.0581961,-0.00557683,-0.0532555,0.000802408,
17939,1.36737,0.860611,0.16309,0.0587057,-0.00572237,-0.0539267,0.000500862,
18034,1.36564,0.858888,0.164523,0.0586915,-0.00573503,-0.0539596,0.000609691,
17794,1.39723,0.894628,0.184806,0.0645082,-0.00677503,-0.0554686,-0.00192566,
17794,1.39723,0.894628,0.184806,0.0645082,-0.00677503,-0.0554686,-0.00192566,
18233.5,1.36152,0.85696,0.159971,0.0576073,-0.0054773,-0.0530656,0.000762746,
18426.5,1.35388,0.846721,0.157261,0.0564617,-0.00526955,-0.0516449,0.000733653,
18106,1.38967,0.882148,0.183568,0.0651375,-0.00649529,-0.051983,-0.00292306,
18148.5,1.38716,0.8791,0.184118,0.0649007,-0.00644176,-0.0516254,-0.00297248,
18148.5,1.38716,0.8791,0.184118,0.0649007,-0.00644176,-0.0516254,-0.00297248,
18121,1.39103,0.886909,0.181272,0.0640036,-0.0063451,-0.0517796,-0.00269576,
18078.5,1.39256,0.889357,0.178986,0.06333,-0.00638442,-0.0530251,-0.00216817,
18074,1.38897,0.882092,0.180453,0.063742,-0.00644194,-0.0527924,-0.00228826,
18074,1.38897,0.882092,0.180453,0.063742,-0.00644194,-0.0527924,-0.00228826,
18077,1.38603,0.881067,0.177334,0.0633966,-0.00621113,-0.0512635,-0.00257028,
18128,1.36733,0.863232,0.163749,0.0580543,-0.00565997,-0.0528115,6.21537e-05,
17835,1.388,0.888691,0.17951,0.0632136,-0.00628251,-0.0521391,-0.00242368,
17733,1.39079,0.887444,0.181202,0.0640634,-0.00637917,-0.0522499,-0.00263598,
17733,1.39079,0.887444,0.181202,0.0640634,-0.00637917,-0.0522499,-0.00263598,
17563,1.38711,0.885511,0.180607,0.063347,-0.0063884,-0.0525468,-0.00225805,
17444.5,1.39153,0.886699,0.177837,0.0634101,-0.00637827,-0.0530979,-0.0021585,
17550.5,1.36745,0.864079,0.15878,0.0576134,-0.00546641,-0.0531874,0.000694892,
17551.5,1.36743,0.863997,0.158839,0.0576092,-0.0054674,-0.0531764,0.000690382,
17391.5,1.37105,0.867647,0.162591,0.0583507,-0.00568021,-0.0533393,0.000193597,
17068.5,1.37044,0.872527,0.159531,0.0573872,-0.00537984,-0.05349,0.00109883,
16827,1.37609,0.878192,0.166929,0.0587741,-0.00578373,-0.0545041,0.00066325,
16773.5,1.36246,0.861121,0.160382,0.0572796,-0.00539143,-0.0529779,0.001036,
16775.5,1.36242,0.860898,0.160409,0.0572765,-0.00539099,-0.0529694,0.00103846,
16295,1.37284,0.879427,0.158976,0.0576493,-0.00518174,-0.0540149,0.00189961,
16235.5,1.36022,0.862364,0.153192,0.0563004,-0.00484217,-0.0521615,0.0019727,
15978.5,1.36398,0.864791,0.155265,0.0575567,-0.00491693,-0.0532086,0.00232992,
15980.5,1.36391,0.864603,0.155081,0.0575423,-0.00490755,-0.053179,0.0023374,
15745,1.36658,0.872506,0.157042,0.0572221,-0.00501475,-0.0533471,0.002068,
15359.5,1.36573,0.873211,0.154962,0.0568961,-0.00488909,-0.0530154,0.0021536,
15107,1.37045,0.876704,0.158681,0.0579492,-0.00501807,-0.0540373,0.00238708,
14865.5,1.37152,0.877434,0.16021,0.0586521,-0.00504706,-0.0545818,0.00261768,
14867.5,1.37121,0.877006,0.160157,0.0586557,-0.00504062,-0.0545613,0.00262916,
14541.5,1.36883,0.857285,0.162291,0.0598291,-0.00553175,-0.0553929,0.00203863,
14272.5,1.37473,0.867298,0.165764,0.0602595,-0.00562768,-0.0561046,0.00214493,
14096.5,1.37075,0.857623,0.16517,0.0605746,-0.005545,-0.0560191,0.00244225,
14096,1.37061,0.857623,0.165212,0.0605666,-0.00554214,-0.0560105,0.00244769,
13633,1.38127,0.870415,0.16852,0.0620316,-0.00583055,-0.0578286,0.00249581,
13458.5,1.38206,0.867845,0.170556,0.0625651,-0.00592589,-0.0582005,0.00257949,
13284,1.38154,0.866632,0.170394,0.0626043,-0.006074,-0.0582792,0.00221703,
13281.5,1.38178,0.867016,0.170303,0.0626243,-0.00607347,-0.0583105,0.00222252,
13164.5,1.37973,0.86727,0.164737,0.0617818,-0.00548821,-0.0571647,0.00295433,
12759.5,1.39683,0.884637,0.175231,0.0650463,-0.00593535,-0.0603872,0.00360516,
12686,1.39083,0.872414,0.185434,0.0648667,-0.00677793,-0.060553,0.00216148,
12591.5,1.38577,0.863595,0.181157,0.0650932,-0.00639468,-0.0603345,0.00301207,
12591.5,1.38577,0.863595,0.181157,0.0650932,-0.00639468,-0.0603345,0.00301207,
12452.5,1.38049,0.85184,0.182282,0.064739,-0.00642227,-0.059707,0.00286582,
12340.5,1.38324,0.853055,0.185741,0.0654784,-0.0064145,-0.0602784,0.00331634,
12247,1.38531,0.843099,0.190343,0.0669996,-0.00682173,-0.0614315,0.00327274,
12246,1.38541,0.843152,0.190442,0.0670262,-0.00683474,-0.0614632,0.00326059,
12111.5,1.39804,0.863597,0.189456,0.0671349,-0.00688193,-0.0623343,0.0031568,
12099.5,1.38511,0.846377,0.18421,0.0658588,-0.00608511,-0.0600323,0.00394867,
12058,1.38167,0.839848,0.185388,0.065939,-0.00616428,-0.0598885,0.00389262,
12066,1.38778,0.837851,0.189138,0.0653089,-0.00668486,-0.0597745,0.0028282,
12065,1.38777,0.838126,0.189006,0.0652841,-0.00667931,-0.059762,0.0028242,
11899,1.40456,0.861437,0.188528,0.0653853,-0.00683977,-0.0605507,0.00243269,
12018.5,1.38993,0.831509,0.180502,0.0650343,-0.00632228,-0.0592693,0.00311088,
11942,1.39834,0.853333,0.186574,0.0640894,-0.00671849,-0.0588351,0.00199408,
11942,1.39834,0.853333,0.186574,0.0640894,-0.00671849,-0.0588351,0.00199408,
12014,1.39159,0.851133,0.179028,0.0622161,-0.00612877,-0.0572878,0.00235652,
11940.5,1.40098,0.861388,0.18619,0.0636841,-0.0067612,-0.0583195,0.00154129,
11923,1.40064,0.864285,0.186282,0.064192,-0.00673522,-0.059296,0.00197747,
11892.5,1.4093,0.872765,0.193054,0.0651013,-0.00713496,-0.059968,0.00153559,
11892.5,1.4093,0.872765,0.193054,0.0651013,-0.00713496,-0.059968,0.00153559,
11991,1.39903,0.85371,0.19316,0.0657352,-0.00740223,-0.0577792,0.000271842,
11874,1.42285,0.883097,0.194984,0.0666744,-0.00753881,-0.0607005,0.000979588,
11873.5,1.42096,0.873659,0.198258,0.0687436,-0.00802405,-0.0604516,0.000144773,
11873.5,1.42096,0.873659,0.198258,0.0687436,-0.00802405,-0.0604516,0.000144773,
11877,1.42452,0.880172,0.202818,0.0696382,-0.00827062,-0.0606374,-0.000300272,
11916.5,1.42604,0.88362,0.197687,0.0685486,-0.00797073,-0.0594533,-0.000378296,
12065.5,1.41153,0.856177,0.19478,0.0684303,-0.00788686,-0.0584547,-0.000461204,
